Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9768404645254676,115
Enterococcus_faecalis,0.960462038271001,164
Escherichia_coli_plasmid,0.9553937476706028,5
Escherichia_coli,0.7906060602245252,1120
Lactobacillus_fermentum,0.9178127917797047,235
Listeria_monocytogenes,0.9747695951866464,126
Pseudomonas_aeruginosa,0.9585317556714706,518
Salmonella_enterica,0.8019881733184923,1079
Staphylococcus_aureus,0.9564668711701572,175
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
