Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9768466439609489,115
Enterococcus_faecalis,0.9611470054038248,165
Escherichia_coli_plasmid,0.9657567245720727,6
Escherichia_coli,0.7921238653184579,1123
Lactobacillus_fermentum,0.9205724143758598,236
Listeria_monocytogenes,0.9752996148167555,127
Pseudomonas_aeruginosa,0.9594661920136389,521
Salmonella_enterica,0.8034743870786383,1083
Staphylococcus_aureus,0.9565282957797248,175
Staphylococcus_aureus_plasmid1,1.0001578033769922,2
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
