Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9865441556505871,26
Enterococcus_faecalis,0.9788166270236227,28
Escherichia_coli_plasmid,1.0,1
Escherichia_coli,0.9756127143928549,130
Lactobacillus_fermentum,0.9480274576675048,75
Listeria_monocytogenes,0.9891894041523328,17
Pseudomonas_aeruginosa,0.9909855675445687,81
Salmonella_enterica,0.9841308758912766,102
Staphylococcus_aureus,0.986384334149876,37
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,1.0,1
Staphylococcus_aureus_plasmid3,1.0,1
