Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,41.0,0.06347103395853476,116811.0,116811.0,2.0,4700658.0,0.9875858921883647,77.0,0.9987793853807566,0.9826784574710548,0.0,0.0,1.0079091054911886,1.0079108073805838,0.9999983114956961
BCALM2,0.0,0.011955679987965744,5009.0,3551.0,0.0,3817265.0,0.801989223794715,1079.0,1.0,1.0,0.0,0.0,1.0023236531914865,1.0023236531914865,1.0
GATBMiniaPipeline,96.0,0.05798124521770699,52959.0,51487.0,0.0,4643859.0,0.9756526923915688,178.0,0.9999491961931379,0.9917218543046358,0.0,0.0,1.0015125351566445,1.0015136118473882,0.9999989249364852
IDBA-UD,171.0,0.037401785725540815,26498.0,27717.0,0.0,4551672.0,0.9562846420796404,396.0,0.9948262434826586,0.6558096445462968,7.0,12.0,1.0079197270805103,1.015505510941913,0.9925300416593831
MEGAHIT,47.0,0.07920023463436915,117581.0,117581.0,0.0,4669364.0,0.9810111716045352,103.0,0.9991580136780301,0.9295824486907289,0.0,0.0,1.0012429958341222,1.001308315222373,0.9999347659584389
MetaHipMer2,86.0,0.05948510697839759,60329.0,58958.0,0.0,4641350.0,0.9751255634229221,161.0,0.9999849312495146,0.9978815803410656,0.0,0.0,1.0010785655035712,1.0010856755038944,0.9999928977104586
metaSPAdes,25.0,0.11137253962711456,198784.0,198784.0,0.0,4674406.0,0.9820704718276984,56.0,0.9980986922913357,0.9348694316436252,0.0,0.0,1.0001257913839747,1.0001653686051233,0.9999604293225992
MINIA,0.0,0.011955679987965744,4996.0,3551.0,0.0,3825661.0,0.8037531834681935,1083.0,0.9999827989684865,0.9934354485776805,0.0,0.0,1.0023642973070537,1.0023642973070537,1.0
SKESA,144.0,0.031121828769854525,37980.0,37661.0,0.0,4566475.0,0.9593946819851311,245.0,0.9963459137322415,0.2217846961586579,2.0,2.0,1.001434366770868,1.0098220180774011,0.9916939310528184
SPAdes,46.0,0.11135342095985794,103636.0,103102.0,0.0,4614007.0,0.9693809291504211,91.0,0.9992928194902245,0.9871677360219981,0.0,0.0,1.000159297547663,1.0001610313985219,0.9999982664283006
Unicycler,35.0,0.07713247723723073,157802.0,155040.0,0.0,4637757.0,0.9743706912091528,89.0,0.9997130515460523,0.9911444141689373,0.0,0.0,1.000000215621474,1.000000215621474,1.0
VelvetOptimiser,0.0,0.011955679987965744,5223.0,3753.0,0.0,3867436.0,0.8125299123104468,1049.0,0.9999821109306636,0.9919404835709857,0.0,0.0,1.002199131414198,1.002199131414198,1.0
