Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,8.0,0.24421606888517422,351511.0,351511.0,0.0,2961911.0,0.9898303736671811,13.0,0.999993911224426,0.9999454771334992,0.0,0.0,1.0003247903127406,1.0003247903127406,1.0
BCALM2,49.0,0.054075369727123436,64777.0,62493.0,0.0,2921297.0,0.9762577272250298,87.0,1.0,1.0,0.0,0.0,1.0003498446066936,1.0003498446066936,1.0
GATBMiniaPipeline,10.0,0.2112776547600508,351149.0,351149.0,0.0,2951299.0,0.9862839875923274,18.0,1.0,1.0,0.0,0.0,1.000010165015473,1.000010165015473,1.0
IDBA-UD,11.0,0.19577207418136028,254555.0,254555.0,0.0,2952540.0,0.9866987129144997,23.0,0.9997760595783503,0.9951456310679612,0.0,0.0,0.9998465727814018,0.9998465727814018,1.0
MEGAHIT,7.0,0.361235447017754,543128.0,543128.0,0.0,2961968.0,0.9898494222919706,17.0,0.9997207248740372,0.9973640856672158,0.0,0.0,0.9997251827163561,0.9997380120244378,0.9999871673299131
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,8.0,0.21125058566166569,351104.0,351104.0,0.0,2960597.0,0.9893912527378221,16.0,0.999515988802401,0.9964047252182845,0.0,0.0,1.0000533676147074,1.0000533676147074,1.0
MINIA,49.0,0.054075369727123436,64777.0,64473.0,0.0,2924618.0,0.9773675602588207,87.0,0.9999332591768633,0.9941935483870967,0.0,0.0,1.0003644920464827,1.0003644920464827,1.0
SKESA,232.0,0.019807896289929426,14061.0,13581.0,0.0,2859973.0,0.9557640804426767,323.0,0.99999808001536,0.9993798449612403,0.0,0.0,1.0000003496536505,1.0000003496536505,1.0
SPAdes,8.0,0.21141934979357305,351104.0,351104.0,0.0,2954237.0,0.9872658272349886,13.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Unicycler,7.0,0.2434160266440133,350999.0,350999.0,0.0,2952070.0,0.986541645306586,15.0,1.0,1.0,0.0,0.0,0.9999939025836109,0.9999939025836109,1.0
VelvetOptimiser,33.0,0.11732582706121159,96259.0,96259.0,0.0,2925091.0,0.977525630425934,60.0,1.0,1.0,0.0,0.0,1.000170251113555,1.000170251113555,1.0
