Assembler,Ns,basepairs,contigs,filtered_Ns,filtered_basepairs,filtered_contigs,filtered_mapped_reads,filtered_n50,mapped_reads,max_contig,misassembled contigs,misassembly events,n50
ABySS,12,2,11,1,10,3,7,7,1,8,1,1,10
BCALM2,1,1,12,1,11,4,11,11,11,11,1,1,12
GATBMiniaPipeline,1,9,2,1,5,5,4,4,5,6,1,1,3
IDBA-UD,1,7,5,1,4,7,3,3,3,4,10,10,4
MEGAHIT,1,6,6,1,3,9,1,2,4,3,8,8,2
MetaHipMer2,1,10,4,1,7,12,8,9,9,10,1,1,8
metaSPAdes,1,5,7,1,2,10,2,5,2,5,10,11,6
MINIA,1,8,9,1,6,6,6,8,7,7,9,9,5
SKESA,1,12,3,1,9,8,9,10,10,9,1,1,9
SPAdes,1,4,8,1,1,11,10,6,8,1,12,12,7
Unicycler,1,11,1,1,8,1,5,1,6,2,1,1,1
VelvetOptimiser,1,3,10,1,12,2,12,12,12,12,1,1,11
