Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,65.0,0.0567544568653172,106160.0,106160.0,0.0,6664814.0,0.9812264716231396,141.0,0.9999960178559342,0.9994385176866929,0.0,0.0,1.0001980550394955,1.0001980550394955,1.0
IDBA-UD,56.0,0.03746402191884081,131851.0,124419.0,0.0,6699176.0,0.9862854131056648,128.0,0.9996968744131001,0.9745148010194079,0.0,0.0,1.0003846741748537,1.0003849727190328,0.9999997015707079
MEGAHIT,31.0,0.06899944496218528,215542.0,215542.0,0.0,6730815.0,0.9909434612275906,82.0,0.9998819053255168,0.9921875,0.0,0.0,1.0002363755355035,1.0002371183875949,0.9999992573240106
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,24.0,0.12479429003007804,285156.0,253547.0,0.0,6728227.0,0.9905624432264039,58.0,0.9995556801614274,0.9826218360408009,0.0,0.0,1.000207929964313,1.000207929964313,1.0
MINIA,291.0,0.024077599292142756,24294.0,23812.0,0.0,6521670.0,0.9601521127507056,463.0,0.9999905149368605,0.9984066284257489,0.0,0.0,1.0008490343078262,1.0008493410398738,0.999999693590511
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,54.0,0.03881510468425415,140753.0,140753.0,0.0,6701769.0,0.9866671672312741,109.0,0.9998574403001529,0.9948856799037304,1.0,2.0,1.0000426752996112,1.0000617747344023,0.9999809017449987
Unicycler,20.0,0.12478368983839125,260846.0,308911.0,0.0,6551562.0,0.9645529589993419,54.0,0.9973001616785412,0.8727838258164852,5.0,10.0,0.9993500786529991,0.9995297304673297,0.9998202636611452
VelvetOptimiser,0.0,0.0012319778338213839,1801.0,1027.0,0.0,3472194.0,0.5111933607466068,151.0,1.0,1.0,0.0,0.0,1.0004070024776275,1.0004070024776275,1.0
