Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,38.0,0.0736791394864197,110434.0,110434.0,0.0,3977886.0,0.9832435955712727,66.0,0.9996388434184121,0.9905832320777643,0.0,0.0,1.0008757100215622,1.0009742682553986,0.9999015376948618
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,15.0,0.18994249911695868,263420.0,257358.0,0.0,3982010.0,0.9842629552482811,30.0,0.9998086538918349,0.9953271028037384,0.0,0.0,1.000078603519328,1.000083374978968,0.9999952289381474
IDBA-UD,120.0,0.031121367326160738,34330.0,34330.0,0.0,3976919.0,0.983004575006853,184.0,0.9997561779326571,0.9646084337349398,0.0,0.0,1.0032975275583937,1.0033111059088706,0.9999864664605057
MEGAHIT,14.0,0.103094241087462,294549.0,294549.0,0.0,3989518.0,0.9861187633120488,31.0,0.9786357671000796,0.42089903563236336,2.0,4.0,0.9989720562734646,1.0116783531243625,0.9874403788401156
MetaHipMer2,0.0,0.0006181907255571812,1149.0,0.0,0.0,215377.0,0.05323633102692083,172.0,0.999902149450406,0.9831697054698457,0.0,0.0,1.0009100321761377,1.0010214646875015,0.9998886811968627
metaSPAdes,24.0,0.10595976890888718,164894.0,164894.0,0.0,3975594.0,0.9826770649263399,51.0,0.9986095901840878,0.9659815733522324,0.0,0.0,1.000735487577454,1.0008240278056562,0.9999115326713364
MINIA,102.0,0.02915605966566288,46155.0,43056.0,0.0,3949141.0,0.9761384806547829,169.0,0.9999507697475977,0.9983783783783784,0.0,0.0,1.0005727827899789,1.000591521042171,0.9999812728253258
SKESA,20.0,0.09203898383385525,200881.0,200881.0,0.0,3970613.0,0.9814458742010299,34.0,0.9999929982149797,0.9999323913190453,0.0,0.0,1.0000073036581505,1.0000073036581505,1.0
SPAdes,16.0,0.14556080478001582,263236.0,263236.0,0.0,3976703.0,0.9829511846842939,33.0,0.9998820899923656,0.9986373600331773,0.0,0.0,1.000086503819873,1.0002869211002179,0.9997996402071072
Unicycler,10.0,0.18991778137503315,324887.0,324887.0,0.0,3974979.0,0.982525050813498,18.0,0.9999790193355105,0.9998345447300166,0.0,0.0,0.999966540703737,0.9999861634489138,0.9999803769833083
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
