Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.023471233648767804,1638.0,0.0,108.0,10505.0,0.09549392311398365,6.0,0.9923527275551609,0.9715447154471545,0.0,0.0
BCALM2,0.06264146827020099,3190.0,3109.0,0.0,91055.0,0.8277200541783705,33.0,1.0,1.0,0.0,0.0
GATBMiniaPipeline,0.14012744643522684,5269.0,4651.0,0.0,97767.0,0.8887343532684284,24.0,1.0,1.0,0.0,0.0
IDBA-UD,0.18631541629169052,12577.0,12577.0,0.0,105631.0,0.96022071322734,11.0,1.0,1.0,0.0,0.0
MEGAHIT,0.18677902315307207,15523.0,12670.0,0.0,107615.0,0.9782559291681439,9.0,1.0,1.0,0.0,0.0
MetaHipMer2,0.1863790486059978,12578.0,12578.0,0.0,106564.0,0.9687019916914378,10.0,1.0,1.0,0.0,0.0
metaSPAdes,0.18599725472015416,15437.0,12657.0,0.0,105952.0,0.9631387093548592,9.0,1.0,1.0,0.0,0.0
MINIA,0.06264146827020099,3190.0,3109.0,0.0,91055.0,0.8277200541783705,33.0,1.0,1.0,0.0,0.0
SKESA,0.015817175270664594,1421.0,0.0,0.0,15416.0,0.14013653676584217,12.0,1.0,1.0,0.0,0.0
SPAdes,0.18599725472015416,15438.0,12657.0,0.0,107736.0,0.9793558591725982,9.0,1.0,1.0,0.0,0.0
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.23987564427718236,21108.0,21108.0,835.0,107377.0,0.9760924304816966,6.0,0.9930753695559017,0.9841297987410231,0.0,0.0
