Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0003401442009720687,1175.0,0.0,0.0,3965.0,0.0008330276447524721,3.0,0.9995887312358627,0.9987661937075879,0.0,0.0
IDBA-UD,0.0003401442009720687,1171.0,0.0,0.0,3792.0,0.0007966811674404475,3.0,0.9995887312358627,0.9987661937075879,0.0,0.0
MEGAHIT,0.0002998059140130587,1086.0,0.0,0.0,8119.0,0.0017057632907302197,7.0,0.9859008359313324,0.9468791500664011,0.0,0.0
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.0003792219164636096,1299.0,0.0,0.0,7782.0,0.001634961193307374,6.0,0.9901842294994877,0.9527397260273973,0.0,0.0
MINIA,0.0002758550561311465,1313.0,0.0,0.0,1313.0,0.0002758550561311465,1.0,1.0,1.0,0.0,0.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.00036409505885398087,1299.0,0.0,0.0,9199.0,0.0019326661548746508,7.0,0.9924466445629242,0.9553472987872106,0.0,0.0
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.00039161753589372206,1132.0,0.0,0.0,26720.0,0.005613744935128891,0.0,0.7828690277287093,0.4750479846449136,0.0,0.0
