Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.004465036298295283,6483.0,6479.0,2170.0,6559727.0,0.9657550501816019,1401.0,0.998126334342781,0.593480466768138,7.0,12.0
BCALM2,0.015603629387853653,21972.0,21139.0,0.0,6510588.0,0.9585205665802456,523.0,1.0,1.0,0.0,0.0
GATBMiniaPipeline,0.04160001060019169,88774.0,88774.0,0.0,6704136.0,0.9870156485329776,166.0,0.999482022924957,0.9573396311413866,3.0,6.0
IDBA-UD,0.05008914466758829,87280.0,87280.0,0.0,6694930.0,0.9856602962459127,161.0,0.9986137004051675,0.8616475558237779,2.0,4.0
MEGAHIT,0.06899944496218528,244431.0,244431.0,0.0,6730265.0,0.9908624875410942,82.0,0.9998275480927217,0.9890282131661442,0.0,0.0
MetaHipMer2,0.06803291359518751,187706.0,187706.0,0.0,6717767.0,0.9890224709341272,101.0,0.9999545316512968,0.9961472709836134,0.0,0.0
metaSPAdes,0.1321409589934529,257869.0,257869.0,0.0,6726248.0,0.9902710851799015,56.0,0.9995083127895226,0.9818662636947487,0.0,0.0
MINIA,0.015603629387853653,21921.0,21139.0,0.0,6518231.0,0.9596458063727763,527.0,0.9999823105083693,0.9929615592853276,0.0,0.0
SKESA,0.006355403815774557,10114.0,9897.0,0.0,6545484.0,0.9636581261511146,933.0,0.9988216307737822,0.25073449822174115,7.0,15.0
SPAdes,0.12516146889211802,227620.0,227620.0,0.0,6716697.0,0.9888649403076706,67.0,0.9995292857912178,0.9902985074626866,2.0,3.0
Unicycler,0.12477809529277877,256472.0,239075.0,0.0,6704188.0,0.9870233042269737,77.0,0.9999908050966244,0.9994447529150472,0.0,0.0
VelvetOptimiser,0.08311713359038798,264293.0,338751.0,12098.0,6703434.0,0.9869122966640314,82.0,0.9951701563039056,0.829940494832446,8.0,11.0
