Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0002995790321372665,1062.0,0.0,0.0,11967.0,0.002957972176226624,11.0,1.0,1.0,0.0,0.0
GATBMiniaPipeline,0.007979628625814666,8915.0,8732.0,0.0,3882084.0,0.959563504451789,604.0,0.9998653164971737,0.9700230591852421,2.0,6.0
IDBA-UD,0.011161543543886474,14006.0,13214.0,0.0,3925882.0,0.9703893810603269,418.0,0.9983841609975251,0.49941397093295825,2.0,5.0
MEGAHIT,0.030581284665088193,26511.0,26209.0,0.0,3969756.0,0.9812340431527282,223.0,0.9994025440963171,0.9079401611047181,0.0,0.0
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.04777865360976667,66647.0,63281.0,0.0,3971865.0,0.9817553403299374,110.0,0.9996762887254309,0.9761513157894737,1.0,3.0
MINIA,0.005310606852697336,6662.0,6313.0,0.0,3821823.0,0.9446683459900531,783.0,0.9999173337394353,0.992320819112628,0.0,0.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.04777865360976667,56470.0,54127.0,0.0,3964395.0,0.9799089250081012,116.0,0.9997698938473012,0.986469864698647,0.0,0.0
Unicycler,0.03340355643814373,31575.0,29304.0,0.0,3813210.0,0.9425394068780083,179.0,0.9999280523489874,0.9959987688519545,0.0,0.0
VelvetOptimiser,0.004341918546636323,2987.0,2358.0,0.0,3222241.0,0.7964652145981995,667.0,0.999966020035211,0.9971857410881801,0.0,0.0
