Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.12533460535633575,245341.0,245341.0,0.0,6781605.0,0.9984210131133204,58.0,0.9999038219096268,0.9983859200052172,0.0,0.0
BCALM2,0.024077599292142756,23566.0,22511.0,0.0,6515102.0,0.9591851397090542,490.0,1.0,1.0,0.0,0.0
GATBMiniaPipeline,0.0685258225086237,211558.0,211019.0,0.0,6716046.0,0.9887690969078358,99.0,1.0,1.0,0.0,0.0
IDBA-UD,0.05014774017163477,135162.0,127716.0,0.0,6700232.0,0.9864408825837379,126.0,0.9992892025655031,0.9665354330708661,1.0,1.0
MEGAHIT,0.06899944496218528,239309.0,239309.0,0.0,6729202.0,0.9907059874888293,81.0,0.9998437034389992,0.9895366218236173,0.0,0.0
MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metaSPAdes,0.125155727121621,257868.0,257868.0,0.0,6729823.0,0.990797414142128,57.0,0.9999015127239218,0.9983681462140992,0.0,0.0
MINIA,0.024077599292142756,24665.0,24029.0,0.0,6524120.0,0.9605128137178258,466.0,0.9999659880771253,0.9886302111532215,0.0,0.0
SKESA,0.0005859550404647596,1427.0,0.0,0.0,1611097.0,0.2371935698059429,1124.0,0.9998245941477911,0.9162049861495845,12.0,23.0
SPAdes,0.042058468890645774,122703.0,122703.0,0.0,6682762.0,0.9838688638508435,129.0,0.9992399839306206,0.9356754690188154,0.0,0.0
Unicycler,0.12477809529277877,256472.0,256472.0,0.0,6707040.0,0.9874431895976785,74.0,1.0,1.0,0.0,0.0
VelvetOptimiser,0.1247869287858511,264843.0,339022.0,0.0,6699314.0,0.9863057301397311,76.0,0.9999988451348998,0.9990403071017274,0.0,0.0
