,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9768387342835327,116
1,Enterococcus_faecalis,0.9604585238167536,165
2,Escherichia_coli_plasmid,0.8277200541783705,33
3,Escherichia_coli,0.790443011066778,1120
4,Lactobacillus_fermentum,0.9177445622366274,236
5,Listeria_monocytogenes,0.9747652507634488,127
6,Pseudomonas_aeruginosa,0.9585205665802456,523
7,Salmonella_enterica,0.8019829209373778,1079
8,Staphylococcus_aureus,0.9564668711701572,175
9,Staphylococcus_aureus_plasmid1,0.9998421966230078,1
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
