task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
1	57/619f94	PROCESS_REFERENCE	-	COMPLETED	0	2021-10-19 18:29:00.046	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	13.6s	1.5s	-	103.1%	0.0%	51.1 MB	331.2 MB	37.3 MB	88.5 MB
14	b1/6d8f7e	reformat_IDBA	ENN	COMPLETED	0	2021-10-19 18:28:59.991	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	39.2s	27.6s	-	239.2%	0.1%	151.7 MB	3.8 GB	740.8 MB	2.7 GB
20	ca/c35c9a	reformat_METAHIPMER2	ENN	COMPLETED	0	2021-10-19 18:29:00.057	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	38.5s	29.2s	-	269.4%	0.1%	146.3 MB	3.8 GB	740.8 MB	4.8 GB
21	e3/eb1c15	reformat_METAHIPMER2	EMS	COMPLETED	0	2021-10-19 18:29:00.060	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	43.4s	33.6s	-	279.7%	0.1%	157.6 MB	3.8 GB	1.9 GB	5.6 GB
16	08/7f3509	reformat_IDBA	ERR2984773	COMPLETED	0	2021-10-19 18:28:59.970	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	54.4s	45.4s	-	227.3%	0.1%	161.9 MB	3.8 GB	1.8 GB	3.6 GB
15	8a/64c6bc	reformat_IDBA	EMS	COMPLETED	0	2021-10-19 18:29:00.008	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	54.1s	45s	-	222.9%	0.1%	144 MB	3.8 GB	1.9 GB	3.2 GB
22	7c/272936	reformat_METAHIPMER2	ERR2984773	COMPLETED	0	2021-10-19 18:29:00.053	docker:pcerqueira/bbtools:38.44	8	1d	-	32 GB	53.6s	45.5s	-	227.9%	0.1%	155.7 MB	3.8 GB	1.8 GB	6.1 GB
3	ef/c3476b	PROCESS_READS	ENN	COMPLETED	0	2021-10-19 18:29:00.024	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 9s	1m	-	98.6%	0.0%	53.4 MB	334.7 MB	376.2 MB	441 B
4	b8/223a9c	PROCESS_READS	ERR2984773	COMPLETED	0	2021-10-19 18:29:00.031	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 29s	1m 19s	-	99.0%	0.0%	53.9 MB	334.7 MB	892.5 MB	466 B
2	f8/e8ea23	PROCESS_READS	EMS	COMPLETED	0	2021-10-19 18:29:00.027	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 34s	1m 22s	-	98.5%	0.0%	53.7 MB	334.7 MB	921.2 MB	435 B
9	05/0dfb17	BCALM2	ENN	COMPLETED	0	2021-10-19 18:28:59.998	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	2m 19s	2m 7s	-	593.5%	4.0%	5.1 GB	8.1 GB	5.9 GB	3.4 GB
27	a2/804089	MINIA	ENN	COMPLETED	0	2021-10-19 18:29:00.081	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	2m 43s	2m 33s	-	511.3%	2.0%	5.1 GB	8.1 GB	6.5 GB	3.5 GB
46	ab/bffce3	METAHIPMER2	ERR2984773	FAILED	0	2021-10-19 18:30:05.030	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	8	1d	-	32 GB	1m 50s	1m 32s	-	299.7%	12.7%	32 GB	105.2 GB	6.3 GB	4.1 GB
47	1f/f567ac	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-19 18:31:35.019	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	25.1s	1s	-	133.1%	0.0%	10.3 MB	55.5 MB	34.8 MB	27.5 MB
43	bf/be5cc0	METAHIPMER2	EMS	FAILED	0	2021-10-19 18:30:05.021	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	8	1d	-	32 GB	2m 15s	1m 46s	-	256.8%	25.4%	32 GB	105.9 GB	5.8 GB	5.2 GB
8	c9/178fa9	BCALM2	EMS	COMPLETED	0	2021-10-19 18:28:59.995	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	3m 9s	3m	-	554.3%	5.3%	6.7 GB	12 GB	8.5 GB	4.3 GB
48	d1/6a67b6	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-19 18:32:05.063	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	29.9s	1.3s	-	106.3%	0.0%	10.5 MB	55.5 MB	33.8 MB	27.5 MB
26	c3/10e32f	MINIA	EMS	COMPLETED	0	2021-10-19 18:29:00.074	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	3m 23s	3m 14s	-	521.7%	2.6%	6.6 GB	12.2 GB	9.1 GB	4.4 GB
42	d1/3817a5	METAHIPMER2	ENN	FAILED	0	2021-10-19 18:30:05.019	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	8	1d	-	32 GB	2m 45s	2m 15s	-	196.4%	26.1%	32.9 GB	105.4 GB	4.9 GB	4.4 GB
51	7f/bfd02a	ASSEMBLY_MAPPING	BCALM2	COMPLETED	0	2021-10-19 18:32:05.068	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	39.9s	12.1s	-	531.1%	0.5%	669.6 MB	1 GB	116.1 MB	608.7 KB
53	bb/ecb299	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-19 18:32:35.022	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	35s	1.9s	-	119.7%	0.1%	90.5 MB	2.6 GB	57.3 MB	16.4 MB
56	72/33d75e	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-19 18:32:35.030	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	20s	1.2s	-	112.4%	0.0%	5.4 MB	19 MB	33.8 MB	27.5 MB
58	2e/0aecb3	SNP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-19 18:32:35.035	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	2s	-	97.4%	0.0%	44.2 MB	310.1 MB	103.5 MB	1 KB
59	e3/3d6eda	MISASSEMBLY	BCALM2	COMPLETED	0	2021-10-19 18:32:35.042	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	2.5s	-	89.4%	0.1%	74.5 MB	356.9 MB	14.2 MB	1.4 KB
54	bf/42d50c	ASSEMBLY_MAPPING	MINIA	COMPLETED	0	2021-10-19 18:32:35.025	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	44.9s	15.8s	-	557.8%	0.5%	650.5 MB	1.1 GB	116.1 MB	611.9 KB
60	cb/28fb70	GAP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-19 18:32:35.039	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	49.8s	31.1s	-	97.5%	0.5%	595 MB	926.6 MB	103.5 MB	140.7 KB
66	b7/e689c1	SNP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-19 18:33:05.036	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	14.8s	2.2s	-	78.7%	0.1%	101.7 MB	382.2 MB	103.5 MB	4.3 KB
68	39/83b21a	MISASSEMBLY	MINIA	COMPLETED	0	2021-10-19 18:33:05.039	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	14.8s	2.5s	-	77.9%	0.1%	74.3 MB	356.1 MB	14.3 MB	1.4 KB
62	ee/859162	ASSEMBLY_MAPPING	BCALM2	COMPLETED	0	2021-10-19 18:33:05.022	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	39.9s	12s	-	434.9%	0.5%	682.4 MB	1.1 GB	104.9 MB	1 MB
69	75/05a3af	GAP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-19 18:33:05.034	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	44.9s	30.5s	-	99.5%	0.3%	437.7 MB	726.9 MB	103.5 MB	138.1 KB
70	bd/3dd068	MISASSEMBLY	BCALM2	COMPLETED	0	2021-10-19 18:33:40.062	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	20s	1.3s	-	125.5%	0.1%	76.6 MB	358.2 MB	14.7 MB	1.4 KB
72	10/8348f0	SNP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-19 18:33:40.107	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	2.8s	-	58.5%	0.1%	110.9 MB	391.3 MB	108.7 MB	1017 B
10	b5/ddb49c	BCALM2	ERR2984773	COMPLETED	0	2021-10-19 18:28:59.979	docker:cimendes/bcalm:2.2.3-1	8	1d	-	32 GB	4m 49s	4m 40s	-	535.2%	3.7%	4.6 GB	11.9 GB	16.2 GB	6.8 GB
61	ed/0249d0	ASSEMBLY_STATS_MAPPING	BCALM2	COMPLETED	0	2021-10-19 18:32:35.044	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 35s	1m 16s	-	98.5%	0.2%	299.5 MB	579.9 MB	131.6 MB	506.3 KB
65	92/d8a649	ASSEMBLY_MAPPING	MINIA	COMPLETED	0	2021-10-19 18:33:40.026	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	1m 15s	16.3s	-	544.8%	0.6%	715.9 MB	1.1 GB	116.1 MB	608.2 KB
73	bc/07c3c4	GAP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-19 18:33:40.104	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	49.9s	32.3s	-	100.3%	0.4%	577 MB	857.3 MB	108.7 MB	275.6 KB
76	7b/879d4a	MISASSEMBLY	MINIA	COMPLETED	0	2021-10-19 18:34:10.104	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	14.8s	1.2s	-	127.5%	0.1%	76.3 MB	357.9 MB	14.2 MB	1.4 KB
75	92/ca3417	SNP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-19 18:34:10.099	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	3.9s	-	61.3%	0.1%	110.7 MB	391.3 MB	103.4 MB	4.9 KB
67	4b/b90270	ASSEMBLY_STATS_MAPPING	MINIA	COMPLETED	0	2021-10-19 18:33:05.043	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 30s	1m 16s	-	99.7%	0.2%	316.4 MB	642.9 MB	131.6 MB	496.2 KB
74	38/02e6e6	FILTER_ASSEMBLY	BCALM2	COMPLETED	0	2021-10-19 18:34:10.096	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	50s	25.5s	-	57.6%	0.1%	93 MB	2.6 GB	396.1 MB	1.1 KB
78	8a/ba2cc6	GAP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-19 18:34:10.102	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	49.8s	33.3s	-	98.7%	0.4%	548.8 MB	832.6 MB	103.4 MB	137.3 KB
80	e8/d15a32	ASSEMBLY_MAPPING	BCALM2	COMPLETED	0	2021-10-19 18:34:40.071	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	10s	4.3s	-	167.2%	0.4%	455.3 MB	652.3 MB	88.6 MB	985 B
84	cd/b584d4	GAP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-19 18:35:10.084	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	24.7s	958ms	-	123.1%	0.0%	8.5 MB	11.6 MB	96.3 MB	824 B
71	cf/aa51ab	ASSEMBLY_STATS_MAPPING	BCALM2	COMPLETED	0	2021-10-19 18:33:40.135	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 55s	1m 37s	-	100.4%	0.1%	98.4 MB	379 MB	126.1 MB	769.2 KB
77	97/d6c72b	ASSEMBLY_STATS_MAPPING	MINIA	COMPLETED	0	2021-10-19 18:34:10.150	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 20s	1m 5s	-	100.4%	0.2%	228.1 MB	509.4 MB	131.6 MB	492.6 KB
82	1c/53fc66	SNP_ASSESSMENT	BCALM2	COMPLETED	0	2021-10-19 18:35:10.075	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	30.1s	3.1s	-	57.0%	0.1%	84.2 MB	366.2 MB	96.3 MB	1 KB
83	a1/f976f4	MISASSEMBLY	BCALM2	COMPLETED	0	2021-10-19 18:35:10.081	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	30s	2.4s	-	83.5%	0.1%	75.3 MB	356.6 MB	13.7 MB	1.5 KB
81	f3/feb935	ASSEMBLY_STATS_MAPPING	BCALM2	COMPLETED	0	2021-10-19 18:35:10.078	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	39.8s	16.2s	-	91.2%	0.1%	84.8 MB	365.4 MB	96.4 MB	150.3 KB
28	d5/4c2430	MINIA	ERR2984773	COMPLETED	0	2021-10-19 18:29:00.077	docker:cimendes/minia:3.2.6-1	8	1d	-	32 GB	6m 58s	6m 48s	-	536.0%	1.9%	4.8 GB	12.2 GB	17.3 GB	6.8 GB
85	db/83bd57	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-10-19 18:36:10.066	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	20s	1.1s	-	159.1%	0.0%	10.5 MB	55.5 MB	46.2 MB	27.6 MB
86	6e/ecb68f	ASSEMBLY_MAPPING	MINIA	COMPLETED	0	2021-10-19 18:36:40.079	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	39.9s	15.2s	-	578.9%	0.3%	664.4 MB	1 GB	116.2 MB	665.2 KB
88	2b/d136fe	SNP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-19 18:37:10.072	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	3.9s	-	60.6%	0.1%	110.4 MB	391.3 MB	104.1 MB	6.7 KB
90	0d/cd8736	MISASSEMBLY	MINIA	COMPLETED	0	2021-10-19 18:37:10.078	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	2.6s	-	86.1%	0.1%	74.4 MB	356.6 MB	14.3 MB	1.5 KB
91	ad/f895c3	GAP_ASSESSMENT	MINIA	COMPLETED	0	2021-10-19 18:37:10.075	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	49.9s	30.1s	-	97.8%	0.3%	436.4 MB	725.9 MB	104.1 MB	164.4 KB
89	14/3930c7	ASSEMBLY_STATS_MAPPING	MINIA	COMPLETED	0	2021-10-19 18:37:10.081	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 25s	1m 8s	-	100.2%	0.4%	507.1 MB	788 MB	132.4 MB	554.3 KB
50	a7/4d20e4	READ_MAPPING	BCALM2	COMPLETED	0	2021-10-19 18:32:05.072	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	7m 25s	6m 54s	-	172.5%	1.9%	2.5 GB	3.5 GB	6.1 GB	3.9 GB
92	50/b675ea	ASSEMBLY_STATS_GLOBAL	BCALM2	COMPLETED	0	2021-10-19 18:39:15.090	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.9s	1.7s	-	105.2%	0.0%	45.8 MB	315.1 MB	39.1 MB	961 B
55	b9/52fd1f	READ_MAPPING	MINIA	COMPLETED	0	2021-10-19 18:32:35.027	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	8m 5s	7m 36s	-	184.3%	1.0%	2.5 GB	3.4 GB	6.1 GB	3.9 GB
31	d5/6f6985	SKESA	ENN	COMPLETED	0	2021-10-19 18:29:00.087	docker:cimendes/skesa:2.5.0-1	8	1d	-	32 GB	11m 33s	11m 25s	-	445.2%	6.4%	16.1 GB	18.5 GB	368.5 MB	28.8 MB
29	17/d95bff	SKESA	EMS	COMPLETED	0	2021-10-19 18:29:00.085	docker:cimendes/skesa:2.5.0-1	8	1d	-	32 GB	11m 48s	11m 40s	-	490.8%	7.1%	17.8 GB	20.4 GB	913.5 MB	28.9 MB
93	1e/5bf128	ASSEMBLY_STATS_GLOBAL	MINIA	COMPLETED	0	2021-10-19 18:40:45.124	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	34.9s	1.8s	-	104.1%	0.0%	42.8 MB	303.9 MB	38.2 MB	956 B
94	7b/ad2750	FILTER_ASSEMBLY	SKESA	COMPLETED	0	2021-10-19 18:40:45.128	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	20s	1s	-	133.0%	0.0%	10.5 MB	55.5 MB	32.3 MB	28.9 MB
95	34/c653ce	FILTER_ASSEMBLY	SKESA	COMPLETED	0	2021-10-19 18:41:15.096	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	35s	976ms	-	135.1%	0.0%	10.5 MB	55.5 MB	32.4 MB	29.1 MB
18	a5/c217af	MEGAHIT	ENN	COMPLETED	0	2021-10-19 18:29:00.042	docker:cimendes/megahit-assembler:1.2.9-1	8	1d	-	32 GB	12m 34s	12m 23s	-	665.3%	0.7%	1.7 GB	1.8 GB	16.5 GB	6.9 GB
100	cb/22b396	FILTER_ASSEMBLY	MEGAHIT	COMPLETED	0	2021-10-19 18:41:50.109	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	20s	971ms	-	126.8%	0.0%	10.6 MB	55.5 MB	32.6 MB	29.4 MB
63	bd/07b887	READ_MAPPING	BCALM2	COMPLETED	0	2021-10-19 18:33:05.026	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	9m 50s	9m 21s	-	186.0%	0.9%	2.4 GB	3.5 GB	9.1 GB	3.4 GB
103	a9/ad303e	ASSEMBLY_STATS_GLOBAL	BCALM2	COMPLETED	0	2021-10-19 18:42:50.125	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	24.9s	2.9s	-	102.5%	0.0%	55.7 MB	338 MB	61.7 MB	951 B
57	bb/d35392	METAHIPMER2	ENN	COMPLETED	0	2021-10-19 18:32:35.032	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	16	1d	-	64 GB	10m 40s	10m 19s	-	1580.0%	22.4%	56.8 GB	258 GB	5 GB	4.7 GB
79	63/c464d8	READ_MAPPING	BCALM2	COMPLETED	0	2021-10-19 18:35:10.072	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	8m 35s	8m 2s	-	165.4%	2.1%	2.7 GB	3.7 GB	9.3 GB	3.4 GB
33	fc/d8e91c	SPADES	ENN	COMPLETED	0	2021-10-19 18:29:00.099	docker:cimendes/spades:3.15.3-1	8	1d	-	32 GB	14m 23s	14m 16s	-	631.1%	1.8%	4.6 GB	6.6 GB	9.6 GB	11.2 GB
104	3c/7c9bfb	FILTER_ASSEMBLY	MetaHipMer2	COMPLETED	0	2021-10-19 18:43:20.144	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	20s	1.3s	-	114.3%	0.1%	79 MB	2.6 GB	33.2 MB	29.3 MB
105	90/67ac4d	ASSEMBLY_STATS_GLOBAL	BCALM2	COMPLETED	0	2021-10-19 18:43:20.174	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	35s	21.9s	-	99.8%	0.1%	108.4 MB	393.9 MB	400.5 MB	941 B
106	ad/0d4a4d	FILTER_ASSEMBLY	SPAdes	COMPLETED	0	2021-10-19 18:43:50.125	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	34.9s	1.3s	-	115.1%	0.0%	10.4 MB	55.5 MB	33 MB	29.3 MB
30	c2/ab584f	SKESA	ERR2984773	COMPLETED	0	2021-10-19 18:29:00.092	docker:cimendes/skesa:2.5.0-1	8	1d	-	32 GB	15m 18s	15m 8s	-	556.8%	7.1%	17.8 GB	20.4 GB	884.8 MB	29.1 MB
111	bf/479f2f	FILTER_ASSEMBLY	SKESA	COMPLETED	0	2021-10-19 18:44:20.136	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	10s	1.1s	-	135.9%	0.0%	10.4 MB	55.5 MB	32.5 MB	29.2 MB
52	69/396f63	METAHIPMER2	EMS	COMPLETED	0	2021-10-19 18:32:35.018	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	16	1d	-	64 GB	12m 50s	12m 6s	-	1708.4%	45.2%	57.3 GB	258.5 GB	5.9 GB	5.7 GB
114	bd/b9a616	FILTER_ASSEMBLY	MetaHipMer2	COMPLETED	0	2021-10-19 18:44:50.150	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	9.9s	1.4s	-	113.0%	0.1%	79.6 MB	2.6 GB	33 MB	29.3 MB
64	8e/609e48	READ_MAPPING	MINIA	COMPLETED	0	2021-10-19 18:34:10.057	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	13m 25s	11m 56s	-	188.0%	2.1%	2.7 GB	3.6 GB	9.5 GB	3.9 GB
117	c3/9dfe40	ASSEMBLY_STATS_GLOBAL	MINIA	COMPLETED	0	2021-10-19 18:46:25.148	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	1.8s	-	104.3%	0.0%	43 MB	306.1 MB	38.2 MB	956 B
87	4f/6d5afb	READ_MAPPING	MINIA	COMPLETED	0	2021-10-19 18:37:10.069	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	10m 40s	9m 41s	-	186.3%	1.0%	2.7 GB	3.6 GB	8.7 GB	3.2 GB
24	60/b2ef57	METASPADES	ENN	COMPLETED	0	2021-10-19 18:29:00.064	docker:cimendes/spades:3.15.3-1	8	1d	-	32 GB	18m 14s	18m 5s	-	588.4%	1.8%	4.6 GB	6.6 GB	12.6 GB	11.3 GB
119	6d/7546e6	FILTER_ASSEMBLY	metaSPAdes	COMPLETED	0	2021-10-19 18:47:25.154	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	15s	1.1s	-	134.1%	0.0%	10.4 MB	55.5 MB	33 MB	29.4 MB
118	89/8e266a	ASSEMBLY_STATS_GLOBAL	MINIA	COMPLETED	0	2021-10-19 18:47:25.151	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	35s	2.4s	-	102.4%	0.0%	52.8 MB	334.9 MB	50.5 MB	981 B
19	4b/a67767	MEGAHIT	ERR2984773	COMPLETED	0	2021-10-19 18:29:00.049	docker:cimendes/megahit-assembler:1.2.9-1	8	1d	-	32 GB	21m 54s	21m 42s	-	655.8%	0.8%	2.1 GB	2.5 GB	22.3 GB	9.5 GB
122	06/d1f2b8	FILTER_ASSEMBLY	MEGAHIT	COMPLETED	0	2021-10-19 18:51:00.211	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	10s	1.2s	-	135.4%	0.0%	11.9 MB	55.5 MB	43.5 MB	31 MB
49	75/4bab47	METAHIPMER2	ERR2984773	COMPLETED	0	2021-10-19 18:32:05.065	docker:cimendes/mhm2:v2.0.0-65-gaad446d-generic	16	1d	-	64 GB	22m 45s	22m 16s	-	1634.4%	24.2%	60.1 GB	257.7 GB	6.4 GB	5.8 GB
125	ce/0cf02c	FILTER_ASSEMBLY	MetaHipMer2	COMPLETED	0	2021-10-19 18:54:30.255	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	9.9s	1.7s	-	80.3%	0.0%	51.3 MB	2.6 GB	16.4 MB	1.6 MB
45	c8/fb587d	IDBA	EMS	COMPLETED	0	2021-10-19 18:30:05.027	docker:cimendes/idba:1.1.3-1	8	1d	-	32 GB	25m 50s	25m 35s	-	690.6%	2.4%	6 GB	6.9 GB	5.8 GB	2.6 GB
128	a7/9e4a0d	FILTER_ASSEMBLY	IDBA-UD	COMPLETED	0	2021-10-19 18:56:05.256	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	25s	1.2s	-	144.3%	0.0%	11.8 MB	55.5 MB	34 MB	29.2 MB
17	81/41d20d	MEGAHIT	EMS	COMPLETED	0	2021-10-19 18:29:00.037	docker:cimendes/megahit-assembler:1.2.9-1	8	1d	-	32 GB	28m 4s	27m 54s	-	435.5%	0.8%	2.1 GB	2.4 GB	20.6 GB	8 GB
131	20/8ab9c3	FILTER_ASSEMBLY	MEGAHIT	COMPLETED	0	2021-10-19 18:57:05.249	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	9.9s	1s	-	125.9%	0.0%	10.5 MB	55.5 MB	32.6 MB	29.4 MB
41	48/8004ab	IDBA	ENN	COMPLETED	0	2021-10-19 18:30:05.015	docker:cimendes/idba:1.1.3-1	8	1d	-	32 GB	30m	29m 29s	-	479.8%	4.5%	5.6 GB	6.5 GB	5.3 GB	2.5 GB
134	3b/ea036f	FILTER_ASSEMBLY	IDBA-UD	COMPLETED	0	2021-10-19 18:59:40.294	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	5s	1.3s	-	108.9%	0.0%	10.4 MB	55.5 MB	34.2 MB	29.2 MB
97	26/4802e2	ASSEMBLY_MAPPING	SKESA	COMPLETED	0	2021-10-19 19:00:40.272	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	20m 10s	16.9s	-	608.7%	0.3%	845.5 MB	1.8 GB	117.5 MB	340.1 KB
140	0a/19af60	MISASSEMBLY	SKESA	COMPLETED	0	2021-10-19 19:01:10.314	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	14.8s	3.2s	-	92.2%	0.1%	64.9 MB	347 MB	14 MB	5.6 KB
139	59/843f84	SNP_ASSESSMENT	SKESA	COMPLETED	0	2021-10-19 19:01:10.307	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	30s	17.3s	-	91.5%	0.1%	109.5 MB	390.2 MB	100.3 MB	202.8 KB
138	1e/718122	GAP_ASSESSMENT	SKESA	COMPLETED	0	2021-10-19 19:01:10.310	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	44.9s	34.5s	-	98.2%	0.3%	414.1 MB	698.1 MB	100.3 MB	109.5 KB
137	f0/45f3f8	ASSEMBLY_STATS_MAPPING	SKESA	COMPLETED	0	2021-10-19 19:01:10.316	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 15s	1m 1s	-	100.1%	0.3%	347.8 MB	628.5 MB	129.6 MB	373.8 KB
